CLAVE;F_CORTE;PARTIDO;REGION;FLUIDO;DIRECCION;ASIGNACION_PRESUPUESTO;P3_IP;LAT_OBRA;LON_OBRA;NOMBRE_DE_LA_OBRA;TIPO_DE_OBRA;FINANCIA;EJECUTA;ESTADO;SUBESTADO;FECHA_LLAMADO_LICITACION;A_INFORMAR;CONTRATISTA;INVERSION_PRESUPUESTADA_SIN_IVA;INVERSION_REAL_ACUMULADA_SIN_IVA;PLAZO;AVANCE;FIRMA_CTO;ORDEN_INICIO;FIN_OBRA;GEOREF_NA;AREA_RESPONSABLE;ACTIVE;HABITANTES;OBSERVACIONES;ESCENARIO_MYM;PI;UBICACION_OBRA;METROS_AGUA;METROS_CLOACA;CONEXIONES_AGUA;CONEXIONES_CLOACA
49729;2021-08-27;La Matanza;OESTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA BARRIOS LA MATANZA 1;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;5600000;0;390;0;;;;PROYECTO PREVISTO;;1;2686;;;;;3000;;0;0
49730;2021-08-27;La Matanza;OESTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA BARRIO SANTOS VEGA;RED SECUNDARIA;FONPLATA 2;A+T;EN PROYECTO;;;SI;;5600000;0;360;0;;;;PROYECTO PREVISTO;;1;1129;;;;;3000;;0;0
49731;2021-08-27;Lanus;SUDESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE CLOACA BARRIOS LANÚS;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;360;0;;;;PROYECTO PREVISTO;;1;4041;;;;;;1000;0;0
49732;2021-08-27;Lomas de Zamora;SUDOESTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA BARRIOS LOMAS DE ZAMORA;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;300;0;;;;PROYECTO PREVISTO;;1;409;;;;;3000;;0;0
145;2021-08-27;Merlo;OESTE;CLOACA;DDC;EXPANSION;OC70270;;;RELEVAMIENTO E INTERVENCIONES ESPECIALES EN REDES CLOACALES EXISTENTES SAN MARTIN ETAPA 2;INTERVENCIONES ESPECIALES;AYSA;C+T;EN PROYECTO;;;SI;;18337253,46;0;90;0;;;;NA;;1;6666;;;;;;0;0;0
49733;2021-08-27;Lomas de Zamora;SUDOESTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE CLOACA BARRIO LA CAVA;RED SECUNDARIA;FONPLATA 2;C+T;EN PROYECTO;;;SI;;30000000;0;300;0;;;;PROYECTO PREVISTO;;1;7500;;;;;;10000;0;0
49735;2021-08-27;Merlo;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RELEV E IE - PARQUE SAN MARTIN ETAPA 8;INTERVENCIONES ESPECIALES;AYSA APORTE LOCAL FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;180;0;;;;Intervenciones Especiales;;1;6666;;;;;;0;0;0
49736;2021-08-27;Merlo;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RELEV E IE - PARQUE SAN MARTIN ETAPA 9;INTERVENCIONES ESPECIALES;AYSA APORTE LOCAL FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;180;0;;;;Intervenciones Especiales;;1;6666;;;;;;0;0;0
49737;2021-08-27;Moreno;OESTE;CLOACA;DDC;EXPANSION;SP3;;;RELEV E IE REDES CLOACALES EXISTENTES TRUJUI ETAPA 3;INTERVENCIONES ESPECIALES;AYSA APORTE LOCAL FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;180;0;;;;Intervenciones Especiales;;1;5000;;;;;;0;0;0
49738;2021-08-27;Moreno;OESTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE AGUA BARRIOS MORENO SUR;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;390;0;;;;PROYECTO PREVISTO;;1;2154;;;;;3000;;0;0
49739;2021-08-27;Moreno;OESTE;AGUA;DDC;EXPANSION;SP3;;;RSA PASO DEL REY-LA RIBERA M2;RED SECUNDARIA;FONPLATA 2;A+T;EN PROYECTO;;;SI;;20000000;0;300;0;;;;PROYECTO PREVISTO;;1;2500;;;;;3000;;0;0
49740;2021-08-27;Pilar;NORTE;AGUA;DDC;EXPANSION;SP3;;;RED SECUNDARIA BARRIOS LA MANZANITA - EL BOSQUE - LAS MARGARITAS;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;210;0;;;;PROYECTO PREVISTO;;1;405;;;;;3000;;0;0
49741;2021-08-27;San Fernando;NORTE;CLOACA;DDC;EXPANSION;SP3;;;RED SECUNDARIA DE CLOACA BARRIOS SAN FERNANDO;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;510;0;;;;PROYECTO PREVISTO;;1;2995;;;;;;1000;0;0
